BGC0000287.1	1
BGC0000291.1	2
BGC0000292.1	3
BGC0000294.1	4
BGC0000296.1	5
BGC0000297.1	6
BGC0000298.1	7
BGC0000299.1	8
BGC0000300.1	9
BGC0000301.1	10
BGC0000302.1	11
BGC0000303.1	12
BGC0000304.1	13
BGC0000305.1	14
BGC0000306.1	15
BGC0000307.1	16
BGC0000308.1	17
BGC0000309.1	18
BGC0000310.1	19
BGC0000312.1	20
BGC0000313.1	21
BGC0000314.1	22
BGC0000315.1	23
BGC0001370.1	23
BGC0000316.1	24
BGC0000317.1	25
BGC0000319.1	26
BGC0000320.1	27
BGC0000321.1	28
BGC0000323.1	29
BGC0000435.1	29
BGC0000324.1	30
BGC0000325.1	31
BGC0000326.1	32
BGC0000327.1	33
BGC0000330.1	34
BGC0000333.1	35
BGC0000334.1	36
BGC0000336.1	37
BGC0000337.1	38
BGC0000338.1	39
BGC0001371.1	39
BGC0000341.1	40
BGC0000342.1	41
BGC0000343.1	42
BGC0000347.1	43
BGC0000348.1	44
BGC0000349.1	45
BGC0000350.1	46
BGC0000351.1	47
BGC0000352.1	48
BGC0000354.1	49
BGC0000355.1	50
BGC0000357.1	51
BGC0000359.1	52
BGC0000360.1	53
BGC0000362.1	54
BGC0000363.1	55
BGC0000364.1	55
BGC0000366.1	56
BGC0000367.1	57
BGC0000368.1	58
BGC0000369.1	59
BGC0000370.1	60
BGC0000371.1	61
BGC0000373.1	62
BGC0000374.1	63
BGC0000376.1	64
BGC0000377.1	65
BGC0000378.1	66
BGC0000379.1	67
BGC0000381.1	68
BGC0000384.1	69
BGC0000388.1	70
BGC0000389.1	71
BGC0001312.1	71
BGC0000391.1	72
BGC0000392.1	73
BGC0000394.1	74
BGC0000395.1	75
BGC0000396.1	76
BGC0000397.1	77
BGC0000398.1	78
BGC0000399.1	78
BGC0000400.1	79
BGC0000401.1	80
BGC0000403.1	81
BGC0000404.1	82
BGC0000405.1	82
BGC0000407.1	83
BGC0000409.1	84
BGC0000410.1	85
BGC0000412.1	86
BGC0000413.1	87
BGC0000414.1	88
BGC0000416.1	89
BGC0000417.1	90
BGC0000421.1	91
BGC0000423.1	92
BGC0000424.1	93
BGC0000425.1	94
BGC0000447.1	94
BGC0000426.1	95
BGC0000428.1	96
BGC0000429.1	97
BGC0000430.1	98
BGC0000431.1	99
BGC0000432.1	100
BGC0000433.1	101
BGC0000434.1	102
BGC0000437.1	103
BGC0000438.1	103
BGC0001416.1	103
BGC0000439.1	104
BGC0000443.1	105
BGC0000444.1	106
BGC0000445.1	107
BGC0000446.1	108
BGC0000448.1	109
BGC0000449.1	110
BGC0000339.1	111
BGC0000415.1	111
BGC0000450.1	111
BGC0000452.1	112
BGC0000453.1	113
BGC0000454.1	114
BGC0000456.1	115
BGC0000457.1	116
BGC0000458.1	117
BGC0000460.1	118
BGC0000461.1	119
BGC0000462.1	120
BGC0000344.1	121
BGC0000411.1	121
BGC0000463.1	121
BGC0000464.1	122
BGC0000465.1	123
BGC0000900.1	124
BGC0000901.1	125
BGC0000945.1	126
BGC0000950.1	127
BGC0000951.1	128
BGC0000956.1	129
BGC0000964.1	130
BGC0000985.1	131
BGC0000993.1	132
BGC0000331.1	133
BGC0000332.1	133
BGC0001018.1	133
BGC0001021.1	134
BGC0001027.1	135
BGC0001045.1	136
BGC0001050.1	137
BGC0001058.1	138
BGC0001085.1	139
BGC0001095.1	140
BGC0001100.1	141
BGC0001117.1	142
BGC0001123.1	143
BGC0001127.1	144
BGC0001128.1	145
BGC0001132.1	146
BGC0001133.1	147
BGC0001135.1	148
BGC0001142.1	149
BGC0001147.1	150
BGC0001149.1	151
BGC0000358.1	152
BGC0001152.1	152
BGC0000408.1	153
BGC0001153.1	153
BGC0001192.1	153
BGC0001166.1	154
BGC0001185.1	155
BGC0001189.1	156
BGC0001193.1	157
BGC0001196.1	158
BGC0001207.1	159
BGC0001208.1	160
BGC0001347.1	160
BGC0001211.1	161
BGC0001214.1	162
BGC0001220.1	163
BGC0001225.1	164
BGC0001228.1	165
BGC0001240.1	166
BGC0001249.1	167
BGC0001250.1	168
BGC0001251.1	168
BGC0001261.1	169
BGC0001263.1	170
BGC0001297.1	171
BGC0001345.1	172
BGC0001346.1	173
BGC0001368.1	174
BGC0001382.1	175
BGC0001389.1	176
BGC0001393.1	177
BGC0001399.1	178
BGC0001402.1	179
BGC0001406.1	180
BGC0001413.1	181
BGC0001414.1	182
